"eV","Pi_Al_GibbSorb_std.xmu.nor","Pi_Apatite_CaDefHydroxy_std.xmu.nor","Pi_Fe_GoethSorb_std.xmu.nor","Pi_K_Pyro_std.xmu.nor","Pi_Mg_Tri_std.xmu.nor","Pi_Na_Tri_std.xmu.nor","Pi_NH4_Mg_std.xmu.nor","Po_Ca_Lecithin_std.xmu.nor"
2204,1.3835385,-9999,-9999,-9999,-9999,-9999,-9999,1.4313249
2205,1.3758098,-9999,-9999,-9999,-9999,-9999,-9999,1.4519796
2206,1.4106788,-9999,-9999,-9999,-9999,-9999,-9999,1.4823318
2207,1.4239809,-9999,-9999,-9999,-9999,-9999,-9999,1.4909369
2208,1.4295632,-9999,-9999,-9999,-9999,-9999,-9999,1.4935275
2209,1.4486455,-9999,-9999,-9999,-9999,-9999,-9999,1.505219
2210,1.4699782,-9999,-9999,-9999,-9999,-9999,-9999,1.5122288
2211,1.5013554,-9999,-9999,-9999,-9999,-9999,-9999,1.5355604
2212,1.5000359,-9999,-9999,-9999,-9999,-9999,-9999,1.5443472
2213,1.5192109,-9999,-9999,-9999,-9999,-9999,-9999,1.5722317
2214,1.5240044,-9999,-9999,-9999,-9999,-9999,-9999,1.5899725
2215,1.5535548,-9999,-9999,-9999,-9999,-9999,-9999,1.6146244
2216,1.5819965,-9999,-9999,-9999,-9999,-9999,-9999,1.6256747
2217,1.5783976,-9999,-9999,-9999,-9999,-9999,-9999,1.6491775
2218,1.5951496,-9999,-9999,-9999,-9999,-9999,-9999,1.6643488
2219,1.629557,-9999,-9999,-9999,-9999,-9999,-9999,1.6968556
2220,1.6444295,-9999,-9999,-9999,-9999,-9999,-9999,1.7170151
2221,1.6711843,-9999,-9999,-9999,-9999,-9999,-9999,1.7471131
2222,1.6879,-9999,-9999,-9999,-9999,-9999,-9999,1.7599578
2223,1.7159072,-9999,-9999,-9999,-9999,-9999,-9999,1.7880556
2224,1.7425948,-9999,-9999,-9999,-9999,-9999,-9999,1.8156539
2225,1.7616662,-9999,-9999,-9999,-9999,-9999,-9999,1.8399787
2226,1.798611,-9999,-9999,-9999,-9999,-9999,-9999,1.8570453
2227,1.8011051,-9999,-9999,-9999,-9999,-9999,-9999,1.8771416
2228,1.8221215,-9999,-9999,-9999,-9999,-9999,-9999,1.8942182
2229,1.8513556,-9999,-9999,-9999,-9999,-9999,-9999,1.9159981
2230,1.8660137,-9999,-9999,-9999,-9999,-9999,-9999,1.9202991
2231,1.8851124,-9999,-9999,-9999,-9999,-9999,-9999,1.9356088
2232,1.9050617,-9999,-9999,-9999,-9999,-9999,-9999,1.9438289
2233,1.914234,-9999,-9999,-9999,-9999,-9999,-9999,1.9641204
2234,1.9363337,-9999,-9999,-9999,-9999,-9999,-9999,1.9608075
2235,1.9449388,-9999,-9999,-9999,-9999,-9999,-9999,1.9860826
2236,1.9599259,-9999,-9999,-9999,-9999,-9999,-9999,1.9870743
2237,1.9780721,-9999,-9999,-9999,-9999,-9999,-9999,2.0129744
2238,1.986141,-9999,-9999,-9999,-9999,-9999,-9999,2.0332705
