mOz	abs_abu	sn	resolution	rel_abu
210.08528	14791.0889	5.7467	1106204	0.00182362469336479
211.024806	139765.125	53.1452	1172404	0.0172319384289021
211.040061	57117.9609	21.7114	1160804	0.00704219443450744
211.061192	240410.7188	91.34	1168004	0.0296407469603715
211.072428	14366.4023	5.4569	1071204	0.00177126418252363
211.076441	34814.5703	13.2226	1165904	0.00429236214569467
211.097573	106060.0703	40.2625	1153904	0.0130763708126375
211.108801	13278.1318	5.0394	1116404	0.00163708900649176
211.133963	24050.2012	9.1224	1119704	0.00296520026924533
211.546725	5400.9644	2.0297	986904	0.00066589634572639
211.893775	6367.8413	2.3753	934604	0.000785104647576567
212.028176	10560.1152	3.9349	1103104	0.0013019789802965
212.075063	28675.0977	10.6811	1140804	0.00353541355906312
212.092826	31810.8633	11.8475	1182004	0.00392202874469451
212.100934	13383.9355	4.9843	1020604	0.00165013376886685
212.129205	22586.3086	8.4096	1013804	0.00278471384854685
213.019324	20041.1758	7.411	1203504	0.00247091903240098
213.040455	50283.6563	18.5912	1168204	0.00619957853822028
213.055711	54965.9414	20.32	1169704	0.00677686739014071
213.076838	123716.0625	45.7284	1156204	0.0152532155046991
213.088083	22700.5664	8.39	1122604	0.0027988009348255
213.092092	30168.8262	11.1498	1152604	0.00371957851109601
213.113227	86651.5	32.0195	1146004	0.0106834470528468
213.149615	9782.7959	3.6139	1089204	0.00120614163663014
214.01457	52965.3164	19.4374	1158804	0.00653020609448972
214.043747	5712.1865	2.0958	727104	0.000704267577926938
214.059082	9250.7461	3.3937	988004	0.00114054408935424
214.063548	5965.2847	2.1883	1001604	0.000735472591329716
214.080187	16122.2939	5.9137	1098204	0.00198775177868917
214.108473	15358.8779	5.6324	1134004	0.00189362860234143
214.116576	10686.2207	3.9186	1010104	0.00131752679461389
214.144865	16198.1719	5.9386	1169104	0.00199710693809755
215.034976	144231.9844	52.5227	1150604	0.0177826669897742
215.056105	100702.5	36.6654	1126804	0.0124158246174538
215.07136	73417.1719	26.7278	1172804	0.00905175869734972
215.092491	301696.8125	109.8164	1150801	0.037196839320224
215.103729	8585.1523	3.1247	1051004	0.00105848161933349
215.10774	27581.8496	10.0385	1150804	0.00340062468417953
215.128873	54477.8906	19.8243	1141704	0.00671669457281038
215.14412	12392.1572	4.5089	1054004	0.00152785532064366
215.165255	44743.6094	16.2775	1143604	0.00551653441634775
216.038333	19739.2227	7.134	1043004	0.0024336905948518
216.0428	10558.7295	3.8159	1163504	0.00130180813440715
216.059464	11031.4912	3.9863	1102604	0.0013600959262003
216.074711	12752.7539	4.6078	907404	0.00157231405190487
216.095847	39675.5664	14.3331	1142704	0.00489168465550055
216.103007	8388.2344	3.0301	1090104	0.00103420319416592
217.014239	53047.2422	19.0327	1129204	0.00654030689997563
217.050624	143250.5781	51.3825	1145704	0.0176616673274097
217.06186	6503.3779	2.3325	1154604	0.000801815242197813
217.071753	85309.8047	30.5949	1151004	0.010518026596206
217.087012	95413.7656	34.2147	1132504	0.0117637653462471
217.098237	9905.5938	3.5518	1075704	0.00122128164993459
