eV,Pi_Al_GibbSorb_std.xmu.nor,Pi_Apatite_CaDefHydroxy_std.xmu.nor,Pi_Fe_GoethSorb_std.xmu.nor,Pi_K_Pyro_std.xmu.nor,Pi_Mg_Tri_std.xmu.nor,Pi_Na_Tri_std.xmu.nor,Pi_NH4_Mg_std.xmu.nor,Po_Na_AMP_std.xmu.nor
2172,1.8338595,NA,NA,NA,NA,NA,NA,NA
2172.5,1.8100596,NA,NA,NA,NA,NA,NA,NA
2173,1.7577582,NA,NA,NA,NA,NA,NA,NA
2173.5,1.7042209,NA,NA,NA,NA,NA,NA,NA
2174,1.6513124,NA,NA,NA,NA,NA,NA,NA
2174.5,1.6129946,NA,NA,NA,NA,NA,NA,NA
2175,1.5783758,NA,NA,NA,NA,NA,NA,NA
2175.5,1.5245803,NA,NA,NA,NA,NA,NA,NA
2176,1.4568558,NA,NA,NA,NA,NA,NA,NA
2176.5,1.4094131,NA,NA,NA,NA,NA,NA,NA
2177,1.3715006,NA,NA,NA,NA,NA,NA,NA
2177.5,1.3344534,NA,NA,NA,NA,NA,NA,NA
2178,1.3120568,NA,NA,NA,NA,NA,NA,NA
2178.5,1.2864482,NA,NA,NA,NA,NA,NA,NA
2179,1.2542288,NA,NA,NA,NA,NA,NA,NA
2179.5,1.2411878,NA,NA,NA,NA,NA,NA,NA
2180,1.2340816,NA,NA,NA,NA,NA,NA,NA
2180.5,1.2143697,NA,NA,NA,NA,NA,NA,NA
2181,1.2022485,NA,NA,NA,NA,NA,NA,NA
2181.5,1.1987632,NA,NA,NA,NA,NA,NA,NA
2182,1.1873145,NA,NA,NA,NA,NA,NA,NA
2182.5,1.1811172,NA,NA,NA,NA,NA,NA,NA
2183,1.1769357,NA,NA,NA,NA,NA,NA,NA
2183.5,1.1885717,NA,NA,NA,NA,NA,NA,NA
2184,1.1790316,NA,NA,NA,NA,NA,NA,NA
2184.5,1.191064,NA,NA,NA,NA,NA,NA,NA
2185,1.187824,NA,NA,NA,NA,NA,NA,NA
2185.5,1.1964409,NA,NA,NA,NA,NA,NA,NA
2186,1.1966509,NA,NA,NA,NA,NA,NA,NA
2186.5,1.1973099,NA,NA,NA,NA,NA,NA,NA
2187,1.210182,NA,NA,NA,NA,NA,NA,NA
2187.5,1.2111409,NA,NA,NA,NA,NA,NA,NA
2188,1.2253017,NA,NA,NA,NA,NA,NA,NA
2188.5,1.2169577,NA,NA,NA,NA,NA,NA,NA
2189,1.2005885,NA,NA,NA,NA,NA,NA,NA
2189.5,1.2242123,NA,NA,NA,NA,NA,NA,NA
2190,1.2189165,NA,NA,NA,NA,NA,NA,NA
2190.5,1.2277861,NA,NA,NA,NA,NA,NA,NA
2191,1.2237936,NA,NA,NA,NA,NA,NA,NA
2191.5,1.2314834,NA,NA,NA,NA,NA,NA,NA
2192,1.2257678,NA,NA,NA,NA,NA,NA,NA
2192.5,1.2479174,NA,NA,NA,NA,NA,NA,NA
2193,1.2463297,NA,NA,NA,NA,NA,NA,NA
2193.5,1.2566461,NA,NA,NA,NA,NA,NA,NA
2194,1.2615985,NA,NA,NA,NA,NA,NA,NA
2194.5,1.2568444,NA,NA,NA,NA,NA,NA,NA
2195,1.27353,NA,NA,NA,NA,NA,NA,NA
2195.5,1.2671128,NA,NA,NA,NA,NA,NA,NA
2196,1.2707219,NA,NA,NA,NA,NA,NA,NA
2196.5,1.2841629,NA,NA,NA,NA,NA,NA,NA
2197,1.2777274,NA,NA,NA,NA,NA,NA,NA
2197.5,1.2855336,NA,NA,NA,NA,NA,NA,NA
2198,1.2965044,NA,NA,NA,NA,NA,NA,NA
2198.5,1.3059301,NA,NA,NA,NA,NA,NA,NA
2199,1.3098919,NA,NA,NA,NA,NA,NA,NA
2199.5,1.3226531,NA,NA,NA,NA,NA,NA,NA
2200,1.3296395,NA,NA,NA,NA,NA,NA,NA
2201,1.3439158,NA,NA,NA,NA,NA,NA,NA
2202,1.3479168,NA,NA,NA,NA,NA,NA,NA
2203,1.3609698,NA,NA,NA,NA,NA,NA,NA
2204,1.3835385,NA,NA,NA,NA,NA,NA,NA
2205,1.3758098,NA,NA,NA,NA,NA,NA,NA
2206,1.4106788,NA,NA,NA,NA,NA,NA,NA
2207,1.4239809,NA,NA,NA,NA,NA,NA,NA
2208,1.4295632,NA,NA,NA,NA,NA,NA,NA
2209,1.4486455,NA,NA,NA,NA,NA,NA,NA
2210,1.4699782,NA,NA,NA,NA,NA,NA,NA
2211,1.5013554,NA,NA,NA,NA,NA,NA,NA
2212,1.5000359,NA,NA,NA,NA,NA,NA,NA
2213,1.5192109,NA,NA,NA,NA,NA,NA,NA
2214,1.5240044,NA,NA,NA,NA,NA,NA,NA
2215,1.5535548,NA,NA,NA,NA,NA,NA,NA
2216,1.5819965,NA,NA,NA,NA,NA,NA,NA
2217,1.5783976,NA,NA,NA,NA,NA,NA,NA
2218,1.5951496,NA,NA,NA,NA,NA,NA,NA
2219,1.629557,NA,NA,NA,NA,NA,NA,NA
2220,1.6444295,NA,NA,NA,NA,NA,NA,NA
2221,1.6711843,NA,NA,NA,NA,NA,NA,NA
2222,1.6879,NA,NA,NA,NA,NA,NA,NA
2223,1.7159072,NA,NA,NA,NA,NA,NA,NA
2224,1.7425948,NA,NA,NA,NA,NA,NA,NA
2225,1.7616662,NA,NA,NA,NA,NA,NA,NA
2226,1.798611,NA,NA,NA,NA,NA,NA,NA
2227,1.8011051,NA,NA,NA,NA,NA,NA,NA
2228,1.8221215,NA,NA,NA,NA,NA,NA,NA
2229,1.8513556,NA,NA,NA,NA,NA,NA,NA
2230,1.8660137,NA,NA,NA,NA,NA,NA,NA
2231,1.8851124,NA,NA,NA,NA,NA,NA,NA
2232,1.9050617,NA,NA,NA,NA,NA,NA,NA
2233,1.914234,NA,NA,NA,NA,NA,NA,NA
2234,1.9363337,NA,NA,NA,NA,NA,NA,NA
2235,1.9449388,NA,NA,NA,NA,NA,NA,NA
2236,1.9599259,NA,NA,NA,NA,NA,NA,NA
2237,1.9780721,NA,NA,NA,NA,NA,NA,NA
2238,1.986141,NA,NA,NA,NA,NA,NA,NA
2125.49,NA,0.26861966,NA,0.057015983,0.036403854,NA,0.15894668,NA
