File_Name,Pre_Edge_Range_Start,Pre_Edge_Range_End,Normalization_Range_Start,Normalization_Range_End
BSLE_0001-part_P-XANES.xmu,-21,-8,36,51
BSLE_0002-part_P-XANES.xmu,-25,-10,35,62
BSLE_0003-part_P-XANES.xmu,-17,-8.5,25,53
BSLE_0004-part_P-XANES.xmu,-25,-7.5,26,50
BSLE_0006-part_P-XANES.xmu,-25,-10,27,51
BSLE_0007-part_P-XANES.xmu,-25,-10,33.5,62
BSLE_0008-part_P-XANES.xmu,-25,-10,33.5,51
BSLE_0009-part_P-XANES.xmu,-25,-10,28,51
BSLE_0010-part_P-XANES.xmu,-15,-8,28,51
BSLE_0011-part_P-XANES.xmu,-25,-10,33.5,51
BSLE_0012-part_P-XANES.xmu,-25,-10,30,40
BSLE_0013-part_P-XANES.xmu,-25,-10,28,51
BSLE_0014-part_P-XANES.xmu,-25,-10,26,48
BSLE_0016-part_P-XANES.xmu,-25,-10,25,45
BSLE_0017-part_P-XANES.xmu,-25,-10,25,51
BSLE_0050-part_P-XANES.xmu,-25,-10,33.5,51
BSLE_0051-part_P-XANES.xmu,-25,-10,33.5,58
BSLE_0052-part_P-XANES.xmu,-25,-10,28,51
BSLE_0058-part_P-XANES.xmu,-25,-10,28,51
