Chemical_Shift_parts_per_million,BSLE_0004-solid,BSLE_0003-solid,BSLE_0008-solid,BSLE_0010-solid,BSLE_0001-solid,BSLE_0013-solid,BSLE_0017-solid,BSLE_0057-solid,BSLE_0066-solid,BSLE_0070-solid,BSLE_0014-solid,BSLE_0024-solid,BSLE_0028-solid,BSLE_0034-solid,BSLE_0018-solid,BSLE_0044-solid,BSLE_0042-solid,BSLE_0030-solid,BSLE_0063-solid,BSLE_0019-solid,BSLE_0046-solid
4.9427,0.3029,0.905,0,0,0,0.4151,0.4968,0.191,0.1288,0,0.7802,0.1191,0,0,0.7858,0.0229,0.8008,0,0,0,0.2155
5.0034,0.3543,0.9279,0,0,0,0.3368,0.4855,0.1794,0.1104,0,0.7786,0.1238,0,0,0.7558,0.027,0.839,0,0,0.0052,0.2053
5.0641,0.4267,0.9221,0,0,0,0.237,0.472,0.1908,0.0921,0,0.7879,0.1251,0,0,0.7299,0.0346,0.8777,0,0,0.0054,0.1936
5.1247,0.5077,0.8898,0,0,0,0.1604,0.4613,0.2193,0.0825,0,0.802,0.1191,0,0,0.7128,0.0455,0.9133,0,0,0,0.1812
5.1854,0.579,0.8505,0,0,0,0.1387,0.4567,0.2467,0.0845,0,0.813,0.1047,0,0,0.7051,0.061,0.943,0,0,0,0.167
5.2461,0.6252,0.8252,0,0,0,0.1756,0.4585,0.2531,0.0942,0,0.8148,0.0868,5.00E-04,0,0.6966,0.0819,0.9654,0,0,0,0.1477
5.3067,0.6438,0.8209,0,0,0,0.248,0.4635,0.2276,0.1037,0,0.8057,0.0763,0.005,0,0.6688,0.1056,0.9799,0,0,0.0088,0.1207
5.3674,0.6495,0.8284,0,0,0,0.3208,0.4659,0.1731,0.1072,0,0.7896,0.084,0.0033,0,0.6099,0.1255,0.9854,0,0,0.0346,0.0873
5.428,0.6656,0.8343,0,0,0,0.3659,0.4607,0.1025,0.1062,0,0.7733,0.1139,0,0,0.5284,0.1325,0.9802,0,0,0.0587,0.0544
5.4887,0.7103,0.8328,0,0,0,0.3737,0.4468,0.0307,0.1085,0,0.7632,0.1594,0,0,0.4532,0.1202,0.9634,0,0,0.0751,0.0309
5.5494,0.7847,0.8266,0,0,0,0.3517,0.4288,0,0.1232,0,0.7618,0.2065,0,0,0.4144,0.0894,0.9373,0,0,0.0817,0.023
5.61,0.8714,0.8192,0,0,0,0.3141,0.4168,0,0.154,0,0.7662,0.2413,0.0025,0,0.4216,0.0491,0.9086,0,0,0.0794,0.0299
5.6707,0.9449,0.8086,0,0,0,0.2702,0.4232,0,0.1959,0,0.7712,0.2584,0.0181,0,0.456,0.0128,0.8875,0,0,0.0721,0.0441
5.7314,0.9858,0.7893,0.0046,0,0,0.2202,0.4575,0,0.2369,0,0.7734,0.2626,0.0453,0.0227,0.4859,0,0.8842,0,0,0.0663,0.0561
5.792,0.9883,0.7594,0.1051,0,0,0.16,0.5223,0,0.2649,0,0.7741,0.2652,0.0837,0.084,0.4921,0,0.9043,0,0,0.0685,0.0603
5.8527,0.9578,0.725,0.2016,0,0,0.089,0.6114,0,0.2747,0,0.7795,0.275,0.1284,0.1387,0.4819,0.0059,0.9469,0,0,0.0817,0.0587
